nom_gare;code_uic;code_postal;total_voyageurs_2022;total_voyageurs_2021;total_voyageurs_2020;total_voyageurs_2019;total_voyageurs_2018;totalvoyageurs2017;total_voyageurs_2016;total_voyageurs_2015
Parent - Coudes - Champeix;734194;63270;58237;50538;47895;63985;55894;61344;59023;62453
Pargny-sur-Saulx;174334;51340;0;0;0;0;0;0;0;0
Parsac - Gouzon;597724;23140;349;295;241;343;177;233;344;231
Pauillac;581256;33250;86882;65836;48177;86219;60960;56590;50884;59029
Peillon Sainte-Thècle;756783;6440;11074;4871;6534;11103;8759;9552;7515;6977
Pertuis;751362;84120;18773;5900;5067;9661;16784;53695;51534;51241
Pessac Alouette;581793;33600;365411;244590;185309;303363;226428;206973;185087;191807
Petit Jouy - Les Loges;393504;78350;151872;67702;66070;184199;184879;187858;186152;183539
Petit Vaux;393652;91360;315634;202745;138206;382123;381720;384398;378563;371331
Picquigny;313106;80310;79125;68856;58943;67126;63106;66180;70002;70293
Pierre-Bénite;722231;69310;47996;36603;26703;45505;30102;30331;25258;31180
Pierrelaye;276097;95480;1263736;1302897;853385;1309897;1304587;1276008;1243565;1207581
Pierreville;141556;54160;0;268;181;0;0;270;1000;1906
Pihen-lès-Guînes;316679;62340;212;102;429;1316;1461;1554;2547;2366
Planès;784785;66210;705;542;310;388;419;469;644;638
Plestan;473090;22640;7989;5521;5232;7316;7344;8831;7570;6030
Pleudihen-sur-Rance;478149;22690;2341;1408;1007;835;1157;1538;2380;1588
Podensac;582734;33720;90710;82552;71428;89635;73778;67707;65233;69241
Poix-de-Picardie;313395;80290;128654;94444;72017;100866;101516;111291;104575;99111
Pomas;615146;11250;1169;853;642;882;130;324;1138;4264
Pont de la Deûle;345207;59128;24168;17475;13177;19152;17724;19305;19886;23457
Pont de Sallaumines;345124;62430;3238;3785;2675;12206;10953;10353;10272;11080
Pontchaillou;471391;35033;340500;264082;207480;285092;238854;232582;209053;218345
Pontcharra - Saint-Forgeux;721464;69490;20373;16633;10191;14848;12257;17707;19419;18812
Pontcharra sur Bréda;747493;38530;696465;559956;485809;721566;645574;648974;604211;588088
Pont-Hébert;447185;50880;0;0;0;1;286;455;340;326
Pontivy;476556;56300;26397;11510;9138;18828;16639;15523;16089;18598
Pontorson - Mont-Saint-Michel;478263;50170;39834;27474;17813;16749;17539;21439;21421;24136
Pont-sur-Yonne;683136;14130;121012;88156;72818;108606;84924;102634;103470;118693
Port-de-Piles;575076;37160;48602;31636;23238;34532;33146;38060;38778;36072
Porté-Puymorens;611509;66760;4433;2669;1856;2901;2777;2938;2768;2502
Pougny - Chancy;745380;1550;3911;4053;4243;6067;5158;3988;3502;2128
Pougues-les-Eaux;696211;58320;14877;12459;9332;13517;12061;12487;14638;17385
Pouru-Saint-Rémy;172338;8140;715;931;682;1844;1164;1235;2003;2220
Preignac;582767;33210;6832;8732;5641;5669;4025;5037;5280;7319
Presles Courcelles;276501;95590;297133;286464;141462;334990;340453;338305;323731;308675
Pringy;746206;74370;44336;25998;17871;25219;22265;25311;20143;23469
Prissé-la-Charrière;485359;79360;7587;5919;5407;6980;8091;6150;5682;5688
Quédillac;473058;35290;29225;17720;16478;15811;14362;10624;7876;9223
Rai - Aube;444620;61270;9;0;0;5;0;25;29;34
Ranspach;182402;68470;18596;18831;18331;18981;19487;22046;23264;22381
Razac-sur-l'Isle;595223;24430;9118;4100;3803;5446;2851;3667;4646;6424
Réaumont - Saint-Cassien;747279;38140;142995;113664;90386;132085;114172;107777;97487;103692
Recquignies;295022;59245;1964;967;2692;7083;6514;7499;7502;8064
Reignier;746511;74930;140539;94568;54124;42475;30905;50371;45608;44274
Retournac;734749;43130;51748;39861;31151;49984;40933;28972;39124;40724
Riedseltz;213462;67120;8528;7785;6820;12349;11988;9998;7861;6855
Rives;747246;38140;331340;276192;231234;350318;320734;338855;319696;340527
Rixheim;182071;68170;172531;138354;126305;201126;188163;196831;201798;203282
Rœux;342089;62118;23951;17040;14871;21031;21018;23640;22208;23362
Ronchamp;185314;70250;51748;41293;36900;41658;30923;31536;31724;33001
Rosheim;214320;67560;206857;176157;147359;223447;206667;206855;199098;191057
Rosières-aux-Salines;141127;54110;237705;199758;196168;207123;175444;164023;168320;154662
Rosult;286567;59230;64374;53234;45264;68125;63529;67731;61394;64914
Roubaix;286732;59100;137990;115165;110804;221272;186867;162587;129704;110953
Ruelle-sur-Touvre;583203;16600;2;0;480;956;3501;5251;5148;6692
Rungis La Fraternelle;546291;94150;637935;381602;325738;772844;785411;808269;813669;816513
Saillat - Chassenon;592717;87720;5272;3461;2102;4624;2657;1644;1632;1865
Sains-du-Nord;295709;59177;45970;35654;34475;53761;53732;57580;59068;67083
Saint-Amand-Montrond - Orval;576322;18200;59281;49900;44514;57623;47585;56650;54625;59638
Saint-Amarin;182600;68550;56906;47636;42380;51487;56337;63083;59559;62487
Saint-André-de-Corcy;723734;1390;252233;181491;147522;258339;230575;250018;238906;237176
Saint-Antoine-de-Breuilh;584201;24230;7402;5358;2807;3149;4979;7437;9590;13132
Saint-Antoine-du-Rocher;571539;37360;29705;20637;13290;14268;17539;17089;19044;21199
Saint-Avre - La Chambre;741306;73130;75854;55781;49465;69710;67349;77317;70572;73613
Saint-Brice-sur-Vienne;592691;87200;823;883;613;248;303;473;168;149
Saint-Césaire;775072;30900;21475;15465;11084;16278;12823;14749;9770;10413
Saint-Chéron;545509;91530;534294;520635;303049;646845;635240;629270;610113;588563
Saint-Dalmas de Tende;756866;6430;6077;2073;3695;5949;4602;7356;7654;7171
Saint-Denis;271015;93200;26902902;23803027;16128368;32141497;32855279;33275543;32732352;32140562
Saint-Denis-de-Pile;584508;33910;32692;29527;24752;36759;27509;25184;24098;24944
Saint-Denis-des-Murs;592097;87400;3137;2592;2656;3829;2356;1816;1779;2601
Saint-Denis-lès-Martel;594572;46600;21617;16202;10024;13427;14091;18682;19801;18147
Saint-Dié-des-Vosges;144014;88100;471486;330108;247485;363148;330696;377920;383617;405652
Sainte-Colombe;715151;25300;26958;18711;15185;12094;13993;16285;13339;13097
Sainte-Eulalie - Carbon-Blanc;491282;33560;46371;36492;23631;32005;21773;17244;12564;11962
Sainte-Gauburge;444604;61370;1463;1412;1062;3656;3617;3826;4134;3578
Sainte-Léocadie;784850;66800;347;79;89;92;146;33;86;150
Sainte-Marthe en Provence;751842;13014;50515;33772;17900;28648;24839;52239;53579;57591
Sainte-Maure - Noyant;575050;37800;159393;97477;64969;100761;97445;91678;90896;97641
Saint-Étienne Carnot;726901;42000;120629;93526;73450;138860;111406;130599;126283;143493
Saint-Étienne Le Clapier;726174;42000;56068;41645;29378;52487;44812;60756;55800;71280
Saint-Étienne-du-Rouvray;411215;76800;30672;20282;18352;33652;25943;25475;23572;25593
Saint-Florentin - Vergigny;683318;89600;93329;62189;45126;75902;60389;68828;64391;68353
Saint-Flour - Chaudes-Aigues;783175;15100;24527;20499;16395;20316;21879;23882;24011;31195
Saint-Germain-les-Belles;592287;87380;15148;11172;9856;12422;13497;13004;13592;14775
Saint-Gervais-les-Bains Le Fayet;746479;74170;399003;312981;279313;356019;346437;388710;386691;389595
Saint-Gilles Lycée Haut-Rhin;181552;68920;87369;63302;63288;58513;53955;62013;63746;67659
Saint-Hilaire - Brizambourg;491324;17770;1160;555;201;376;306;316;519;378
Saint-Jean-de-Verges;611624;9000;8541;3547;1526;2791;2218;3120;2132;2413
Saint-Jodard;726851;42590;11242;9601;8953;12481;11269;12696;13991;14579
Saint-Just-en-Chaussée;313270;60130;499407;436351;407514;521732;511473;538917;535839;534584
Saint-Laurent-en-Grandvaux;715417;39150;24545;17898;14777;15068;12442;17453;16952;16064
Saint-Mammès;682294;77670;303399;322236;205853;367310;359224;353693;340771;327578
Saint-Martory;611103;31360;8440;6717;3550;1634;1819;3906;2707;2770
Saint-Mathurin-sur-Loire;487892;49250;75451;55028;64069;109370;101784;100274;95842;98549
Saint-Médard-sur-Ille;478024;35250;47117;35674;32013;38691;33338;43477;43871;46537
Saint-Michel-sur-Meurthe;144683;88470;2472;2005;2379;2892;3095;3562;2897;2591
Saint-Ouen-l'Aumône;276105;95310;1826988;1588019;815623;1981424;1968878;1946678;1887874;1828723
Saint-Ouen-l'Aumône Quartier de l'Église;381426;95310;611246;586174;278841;589690;553932;520876;480297;482195
Saint-Paul-de-Varax;723783;1240;82581;73321;63346;79363;81357;88962;77668;74491
Saint-Piat;394148;28130;192805;149913;124256;174649;171661;177968;183752;180912
Saint-Pierre-d'Aurillac;582833;33490;12000;7824;4493;6221;5491;7121;5602;7513
Saint-Quentin en Yvelines - Montigny-le-Bretonneux;393843;78180;9601190;5594284;4872956;11640712;12196000;12912173;13381659;13789333
Saint-Roch;313080;80000;69003;52807;49519;79609;65454;66779;71955;71790
Saint-Sébastien Pas Enchantés;354589;44230;36316;24053;18327;30198;31292;31559;30728;25589
Saint-Sulpice-Laurière;592345;87370;38867;31349;29755;37213;33281;39036;46898;48585
Saint-Vincent-de-Tyrosse;673277;40230;214619;170752;122390;165945;145525;160134;137194;140132
Saléchan - Siradan;618710;65370;504;252;81;232;216;326;243;449
Sallaumines;345215;62430;13013;8918;9591;15527;12786;12327;14027;17301
Salomé;342451;59496;10248;8858;9200;12839;13829;16221;15485;13952
Sannois;276188;95110;3857638;3581520;1997420;3682623;3660733;3523862;3247072;3270836
Santenay les Bains;713594;21590;6103;4626;5101;6398;5026;5985;6457;8292
Santes;286401;59211;42691;32753;29459;48428;46742;50672;49028;50164
Saône;718502;25660;24300;14367;22035;30007;25591;29757;27234;30774
Sarliève - Cournon;734152;63800;44092;26160;22334;39848;31825;37747;32533;38706
Sathonay - Rillieux;723700;69580;284156;232712;233402;370459;313475;291170;245349;239512
Saulon;713628;21910;16714;7968;9809;13891;10578;12828;12051;11223
Saverdun;611368;9700;154600;119606;95387;136778;128348;171063;154780;156632
Sélestat;214056;67600;2400515;1885193;1572364;2394038;2257513;2225163;2086181;2062470
Sennecey-le-Grand;725614;71240;44934;32043;23939;31410;27942;29405;25891;28731
Sérifontaine;381269;60590;4966;2746;522;1048;4700;6693;6792;7675
Sermaise;545517;91530;108489;90415;60616;131344;128659;126376;121816;116851
Sevran - Livry;271429;93270;4784929;3906248;2632823;5792675;5902128;5982229;5973397;5932168
Sisteron;751206;4200;43042;32898;21755;45132;50051;65174;59203;59324
Somain;345314;59490;354955;273809;234747;377659;342640;361167;351260;370685
Strasbourg Roethig;212191;67200;71967;66201;48454;75283;55108;57421;63798;61980
Suresnes Mont Valérien;382374;92150;3503155;3048787;1546667;3463282;3120349;2847025;2544442;2559923
Surgères;485227;17700;443664;341933;257923;372949;350762;370151;332363;361287
Taconnaz;746750;74310;5492;4882;4141;3871;4170;3699;2966;2772
Tanus;615674;81190;2934;2846;2586;2590;1752;1695;1536;1418
Tarbes;671008;65000;639135;492773;334030;428617;407099;512070;482700;516136
Teillé;396051;72290;3977;3509;1817;3313;5928;5969;5753;4905
Terrasson-Lavilledieu;594408;24120;36251;23939;13380;28633;24483;26199;25951;26472
Tessonnières;615245;81600;7536;4080;2381;2846;3185;4217;3946;4302
Thann;182568;68800;151899;123256;107817;163382;163921;166720;162257;170131
Thaon;144097;88150;339375;264671;206600;256138;217211;243687;241675;269935
Thésée;328195;41140;3884;4458;5126;5585;3370;4384;5421;4145
Thonon-les-Bains;745646;74200;640419;464183;325977;454026;411424;503268;479575;487033
Thun le Paradis;381822;78250;471681;432673;198768;391728;377907;366370;348143;345491
Tieffenbach - Struth;215699;67290;72219;53190;39193;63356;65095;60852;58729;54594
Tonnerre;713198;89700;144629;106308;85735;134669;127065;137259;128762;137717
Toulouse Matabiau;611004;31500;12869088;10248180;7616091;9892175;8712234;10309397;9539321;10010314
Tournan-en-Brie;116210;77220;2096889;1527630;961576;1971494;2017749;2082036;2107021;2128614
Toury;543074;28310;163834;127665;103047;130809;106085;101462;102425;107221
Trélazé;701532;49800;60813;40738;30106;44256;1684;0;0;0
Trilport;116491;77470;990660;1099328;229698;1199192;1208595;1227870;1222022;1211959
Urmatt;214635;67280;141560;111808;95408;125815;118873;130479;132751;133884
Us;381178;95450;99723;85308;53822;122476;124416;129068;129962;121370
Uzerche;594200;19140;73091;56268;43161;69918;66798;82453;81930;82141
Vaas;396598;72500;6697;4657;4154;6237;7417;9387;10269;8153
Valleroy - Moineville;192732;54910;5955;4073;3707;7166;5797;6264;7290;11184
Valmondois;276535;95430;917051;891151;499320;1035712;976799;942389;924968;907771
Vaumoise;271601;2600;4241;3422;2191;961;609;886;892;621
Vauvert;775817;30600;35887;30828;13909;3329;2447;2149;1634;1528
Vélines;584177;24230;63568;48189;32254;30900;46346;50005;48680;53795
Vendeuvre-sur-Barse;118257;10140;52886;35792;31182;44126;38423;38538;36815;43824
Verrey-sous-Salmaise;713081;21540;25391;21178;19592;19996;20264;24614;23721;25966
Versigny;296608;2800;2219;2823;1745;2249;2810;4263;6093;6698
Vert Galant;271437;93420;6389699;5453237;3831144;7736030;7925679;8132589;8195679;8215190
Vertou;481408;44120;93709;63429;47422;89228;103231;120465;104147;90625
Vesoul;185009;70000;238617;181620;161860;200673;245423;332084;329654;362663
Vézelise;141606;54330;6608;2646;3218;4113;6844;10559;16887;20218
Vic - Mireval;773531;34110;50569;38784;20507;15609;13338;16084;17870;15990
Vic-le-Comte;734186;63270;251884;198334;181768;232443;196881;215758;205416;216708
Vienne;722587;38200;1956515;1456693;1106437;1768935;1559620;1602133;1492175;1490676
Viévola;756890;6430;171;8;76;134;60;118;115;159
Villaines-sous-Bois;272021;95570;97742;86132;28284;94805;85903;89237;80512;72448
Villefort;775197;48800;18520;12875;8837;11344;9878;10287;9444;9035
Villefranche-de-Rouergue;613893;12200;70128;51984;40134;66546;60264;72893;71022;69147
Villeherviers;576165;41200;16920;10829;7509;8533;9830;10664;9949;9107
Villeneuve-la-Guyard;683102;89340;173943;137470;117425;155131;109228;129110;130287;147245
Villeneuve-Loubet;756304;6270;423218;324260;222593;381658;304407;323854;268009;258298
Villeneuve-Saint-Georges;681825;94190;14780961;14720746;9348272;17889110;18167340;18338319;18187384;18012745
Villereversure;743328;1250;4611;2045;2323;4444;4119;5214;4098;5430
Villiers Montbarbin;116749;77580;53041;58772;26840;64214;61424;58900;55391;51920
Virieu sur Bourbre;747204;38730;26566;22014;17414;24338;16990;15848;15897;16332
Viroflay Rive Gauche;393215;78220;4651553;3373069;2634272;5633570;5330072;5067446;4726246;4389157
Vitry-en-Artois;342113;62490;78918;66628;61341;91824;93824;95886;95222;97110
Viviers-du-Lac;741140;73420;13698;9150;6139;8953;5679;7661;9083;9348
Viviez - Decazeville;613661;12110;17339;11938;9416;14050;14083;18038;16694;18483
Voellerdingen;215640;67430;0;0;0;0;0;0;0;0
Voiron;747287;38500;1524325;1190675;929129;1362221;1197133;1270062;1210485;1236354
Volvic;641423;63530;14953;9144;6737;8791;7619;9864;9518;8183
Vonnas;725820;1540;102171;101754;85383;91327;94344;93489;93865;92618
Vorey;734723;43800;42789;39154;29492;45135;29189;24157;35397;34581
Vougeot - Gilly-lès-Cîteaux;713511;21640;50564;28560;29538;36550;28416;32250;31697;41974
Voujeaucourt;184531;25420;16809;11771;10356;12042;10194;11013;8987;10910
Vraincourt - Viéville;143024;52310;1332;1190;1555;3326;4557;6653;8549;7554
Vrigne-Meuse;172221;8350;5471;4273;4032;4277;4818;5990;7801;7036
Wallers;343301;59135;10863;8875;10687;25641;29475;32284;27029;25866
Wambrechies;286229;59118;19;127;21;919;976;1093;745;1292
Watten - Éperlecques;281436;62910;102356;86007;82999;113082;96927;101732;95636;95658
Wihr-au-Val - Soultzbach;182378;68230;43562;40428;36875;40307;36849;41448;38444;38570
Agay;757559;83530;32800;25094;15390;22284;15093;14154;19240;19121
Agde;781278;34300;689202;561160;394380;542288;588297;697091;660656;662516
Albens;746115;73410;126604;90061;67880;106006;84275;99810;86676;86131
Albi Madeleine;615195;81000;80495;57591;37520;51855;44787;55019;52084;63723
Ambérieu-en-Bugey;743716;1500;1334530;1043483;838327;1254920;1168627;1223516;1188233;1195489
Ambronay - Priay;743146;1500;8271;6321;5665;9145;5983;6623;7700;7463
Anchamps;172858;8500;7550;5985;5694;7376;6979;6235;5123;6400
Annappes;286856;59650;1458;1388;882;1638;1285;811;641;883
Anse;721324;69480;468208;343949;284335;444151;397142;397242;365763;369752
Anthéor Cap Roux;757567;83530;11494;8814;5313;6677;3680;3503;3867;4098
Apach;191643;57480;1512;294;369;907;1164;1105;1059;1066
Appilly;296459;60400;8655;6565;5965;7990;7832;6961;6728;5493
Arenc Euroméditerranée;580340;13002;68184;47457;35506;56897;42045;19702;15652;20319
Argelès-sur-Mer;784231;66700;164672;124292;86560;117724;103492;126203;106538;125241
Argentan;444539;61200;389139;256502;175602;294691;274448;298107;291798;310239
Asnières-sur-Seine;381137;92600;17579037;15175351;8693940;16996318;16317005;15666171;15431212;13008898
Assat;672162;64510;475;586;559;273;151;168;461;236
Aubagne;751750;13400;1046412;844535;634307;958241;935040;971737;841969;747027
Auchy-lès-Hesdin;317230;62770;15943;7418;589;1133;1414;5041;7936;9640
Audrieu;444059;14250;20670;14265;10779;15635;14323;16234;16471;16984
Auffay;415158;76720;228254;184178;159577;214793;197127;188636;186549;197756
Aulnoye-Aymeries;295600;59620;647078;511434;451188;621126;597836;614240;580610;604945
Aumont-Aubrac;783266;48130;8490;6535;5641;8036;7100;7754;7178;7840
Auneau;545657;28700;26607;21915;16876;30190;30121;31784;33197;32939
Avallon;683789;89200;54702;37849;30046;45473;36833;41444;36096;39727
Bailleau-le-Pin;394411;28120;128173;95047;67661;79178;76427;74398;75577;77159
Bailly T13;710780;78870;0;0;0;0;0;0;0;0
Baisieux;286872;59780;51083;35458;33237;57067;54454;53118;44687;37822
Banassac - La Canourgue;783324;48500;8102;3286;2556;3164;3646;4045;4094;4541
Banyuls-sur-Mer;784298;66650;95022;77197;50479;74781;64538;80181;71187;73499
Barjac;783563;48000;54;55;109;76;16;24;23;4
Barr;214247;67140;341948;259665;214461;302765;289868;298416;290643;302911
Basse-Ham;191601;57110;562;18;14;646;523;642;632;1408
Baume-les-Dames;718460;25110;224769;177034;155122;184027;160265;170977;169972;175712
Bauvin - Provin;345280;59221;109399;81470;106504;185978;175839;180078;174049;173097
Beaugency;574160;45190;451356;326063;243606;365966;336506;342444;335196;351917
Beauvais;313510;60000;1636319;1241717;988279;1327596;1298880;1402417;1379556;1346772
Bécon les Bruyères;382002;92400;10762906;8732029;4409499;10269355;10508412;10854104;11036425;11668320
Bedous;672774;64490;16568;16543;12252;16872;12640;18010;15975;525
Bègles;581801;33130;38020;33584;24877;34296;27100;24941;18524;22853
Belleville sur Sâone;721357;69220;1029985;749047;609269;955807;850238;868192;831617;857814
Bellignat;743526;1810;4219;3683;3355;5373;5208;7183;7693;7198
Belloy - Saint-Martin;276550;95270;176362;160085;70829;182798;188233;182248;178318;173862
Belvès;595876;24170;2759;2896;3663;7409;7242;9336;9965;10094
Bergerac;584268;24100;356938;278850;199226;185431;271436;297352;275003;289479
Berlaimont;295808;59145;7363;7392;8730;19722;17711;18551;15493;19691
Berre;753228;13130;0;0;0;0;0;0;0;0
Bertrichamps;141424;54120;3487;3561;3434;3894;3502;3521;4560;5641
Bertry;345553;59980;3350;2338;4525;8199;7001;5685;5869;6637
Besançon Viotte;718007;25000;2616257;1910107;1587747;2155623;1948332;2118267;2040910;2123064
Bessancourt;276642;95550;796219;693514;340303;737892;707523;700747;668488;635190
Bessay-sur-Allier;696336;3340;18404;13665;9102;13912;11071;11083;10237;8474
Béthune;342006;62400;1601485;1275459;1134785;1838636;1744515;1844883;1775966;1827943
Bigny;576306;18190;123;112;79;358;1061;1996;1920;2098
Bitche;193821;57230;30852;22009;15583;26270;20640;19610;18895;23357
Bitschwiller-lès-Thann;182576;68620;34337;30522;29187;36084;32939;35640;33589;37642
Blaisy-Bas;713073;21540;48459;36394;36567;36585;35558;43707;39990;42547
Blangy-sur-Bresle;313809;76340;34907;31720;29382;21218;22833;28546;31099;32310
Boën-sur-Lignon;726471;42130;27226;20030;16541;25451;11921;13859;22402;31040
Bogny-sur-Meuse;172049;8120;79860;73125;66622;65702;64059;68922;68443;73728
Boisleux-au-Mont;342071;62175;2055;1346;879;1937;1115;894;636;1478
Bonneval;545731;28800;66356;41599;28093;42944;35211;37827;36828;43229
Bonneville;746339;74130;307165;247456;195951;244862;229975;236990;198876;196041
Bonnières-sur-Seine;415893;78270;771930;619227;278424;636589;665715;713057;749898;789125
Bonson;726414;42160;58831;40429;36464;66667;57138;59067;55706;64674
Bords;491019;17430;14598;9594;5494;8135;6178;7084;7378;9671
Bouaye;481200;44830;56168;35343;24669;33921;26796;25179;19696;17241
Boulogne-sur-Mer;317586;62200;952689;741122;568031;830447;784536;857777;858187;921416
Bourg-Madame;784876;66760;5356;2974;2767;4528;4557;4874;5349;7061
Bourgneuf-en-Retz;481242;44580;22569;16403;11428;18222;14560;15541;14164;11131
Boussy-Saint-Antoine;682138;91800;2880374;2906672;1921990;3487143;3585833;3677684;3712941;3725311
Bouy;174433;51400;0;0;38;778;889;1262;964;908
Brazey-en-Plaine;713644;21470;45283;28186;28595;36997;36959;43808;43048;43147
Breitenbach;182659;68380;28767;29562;28763;30219;27185;28724;31159;31894
Breteuil;313247;60120;43095;35539;30912;41007;36295;36651;36570;39090
Bretoncelles;394270;61110;26432;25848;21239;22932;20615;20934;24073;26475
Briare;696088;45250;61949;43963;30194;47148;43985;48170;45392;50561
Brion - Laizy;694596;71190;8257;6440;6147;4426;4329;4415;4523;5350
Brion - Montréal-la-Cluse;131961;1460;46414;34660;25344;35922;32292;32521;38422;44243
Brioude;734269;43100;110941;79521;61464;95704;77937;93356;82274;87560
Briouze;448084;61220;54629;31297;24431;37420;34356;35494;34775;32692
Brive-la-Gaillarde;594002;19100;1030162;776960;538164;810034;758883;864600;836580;890457
Broons;473074;22250;59562;39722;28626;36462;31064;24009;20214;21995
Brou;394452;28160;115264;83512;64559;80996;74844;76016;70824;74059
Brumath;212134;67170;598702;486002;423151;619310;563815;565974;522294;492583
Brunstatt;181032;68350;0;0;0;0;0;0;0;0
Bueil;387092;27730;109663;83609;66030;107823;103373;133082;130854;127653
Busigny;296244;59137;66529;56192;44422;56535;49018;55333;50415;54060
Caen;444000;14000;3753065;2523089;1959000;3173011;2835925;3191694;3070891;3256254
Callac;473546;22160;40638;36048;29476;27278;23917;24032;21166;22912
Carcassonne;615286;11000;1047813;820367;565381;775306;693148;844291;786810;768690
Carhaix-Plouguer;473504;29270;59351;43661;29538;34270;44750;59810;60746;65011
Castelnaudary;615039;11400;347787;278907;207782;281801;247301;307949;298324;294644
Ceilhes - Roqueredonde;781542;34260;1256;839;674;359;2287;5297;5741;6476
Cercottes;543033;45520;70521;50076;36970;42501;36191;31548;29410;29910
Cérons;582742;33720;382657;280802;217265;305309;256860;233554;212203;196905
Châbons;747212;38690;78294;62965;44628;53351;51640;53309;50770;47815
Chagny;713578;71150;419221;321168;295045;325664;314142;369020;351985;371474
Chaingy Fourneaux Plage;574111;45380;21115;12387;8992;14271;11820;11992;9896;10526
Chalonnes-sur-Loire;484204;49290;160446;117731;98379;176200;181722;202158;197908;203677
Chalon-sur-Saône;725002;71100;1598581;1185498;1040278;1309047;1238458;1366947;1297413;1412751
Chamalières-sur-Loire;734731;43800;3125;2273;969;1866;1606;1245;1671;1652
Champagney;185348;70290;69916;52818;52119;52227;44324;46864;43374;43545
Champagnole Paul-Émile Victor;352047;39300;2499;2650;1507;2545;1571;4248;5910;6323
Champigneulles;141085;54250;24859;17742;12645;14994;11239;9340;13210;18940
Chanac;783530;48230;196;141;64;222;547;612;606;743
Changis - Saint-Jean;116509;77660;250409;209345;116332;302651;308219;317021;318892;318992
Chantilly - Gouvieux;276113;60500;2600290;2104919;1694056;2679758;2427387;2603456;2500930;2421516
Chaponost;722710;69630;99688;89155;74261;91801;80970;77448;65119;59240
Charbonnières-les-Bains;721530;69260;252635;212581;182340;252754;241958;253010;235456;226585
Chasseradès;775148;48250;1798;1181;849;968;776;621;662;517
Chasse-sur-Rhône;722561;38670;237250;172740;136089;195254;158389;160477;144755;155162
Châteauneuf - Bujaleuf;592105;87460;3841;2987;2428;3889;2376;2274;2433;2849
Châtillon d'Azergues;721753;69380;20177;15992;13629;19714;16175;17707;22861;23326
Chépy - Valines;317495;80210;207;235;235;2897;5618;6434;7417;7049
Chevrières;276311;60710;28028;23974;20332;28748;25476;27867;24603;29656
Chindrieux;741116;73310;46107;19144;16002;23568;20149;20739;15265;15915
Chissay-en-Touraine;574848;41400;9811;5188;2361;5992;7176;7711;8050;7393
Choisy-le-Roi;545285;94600;10936239;8997300;6390626;13240339;13621599;14029876;14178267;14267343
Cintegabelle;611376;31550;92394;73749;57628;81773;78473;104090;98862;98714
Cires-lès-Mello;313551;60660;112440;90708;69824;96422;87462;98692;100360;106980
Civrieux-d'Azergues;721746;69380;4821;4208;4584;6347;6617;8588;5739;5073
Cize - Bolozon;743344;1250;1145;916;964;1481;477;586;906;2132
Clelles - Mens;747626;38930;19784;32942;16136;22305;21559;25611;23126;24319
Clerval;184622;25340;60473;44025;39726;52180;44943;56309;46612;47372
Cognac;491449;16100;158552;93744;85149;147237;128074;150883;140759;154573
Colmar;182014;68000;4103990;3186895;2566878;4200762;3950944;3887862;3589253;3586247
Colombier-Fontaine;184556;25260;15399;10744;10622;14534;11952;14045;14728;14259
Colomiers Lycée International;611921;31770;158547;134118;138766;174685;181352;233161;251010;255183
Commercy;175257;55200;212829;155389;118638;182731;171608;176049;160004;168732
Condat - Le Lardin;594382;24570;28892;21220;15934;28351;28841;33306;32350;33378
Conlie;396218;72240;53288;39419;33225;64332;68836;65237;63380;63827
Corbigny;696617;58800;8237;4451;3962;6542;4865;5091;4664;4394
Corcy;272286;2600;3;2;3;0;0;7;102;529
Corgoloin;713537;21700;13671;8681;12146;15088;12843;13228;12360;13779
Cornil;594481;19150;7553;5149;3418;4762;3654;4309;3443;3539
Corps-Nuds;471326;35150;15503;7225;3307;3533;4004;6702;38817;62696
Corrèze;594119;19800;4566;4184;3271;4298;4209;4737;4771;3665
Cosne-sur-Loire;696146;58200;209767;151936;116309;162150;158219;179187;176942;194441
Coucy-lès-Eppes;171769;2840;10099;9545;7023;5811;7267;7048;7064;7102
Couëron;481804;44220;57885;42387;33555;56980;46990;37526;32029;32373
Couffoulens - Leuc;615120;11250;826;2054;1613;368;33;255;571;709
Couilly - Saint-Germain - Quincy;116731;77860;84535;110500;9391;102343;103334;104909;104449;103643
Couliboeuf;444232;14620;0;0;0;346;262;1002;1013;880
Courcelles-le-Comte;342063;62121;1465;1272;703;102;94;396;816;1126
Courcelles-sur-Nied;192211;57530;24671;20659;16959;22931;20933;25377;27098;30617
Courcy - Brimont;171710;51220;31723;23216;20987;20326;18016;18842;20782;21508
Cousance;718270;39190;14606;10231;5889;7077;4819;5637;5743;6757
Coutances;447110;50200;185838;126086;89347;132814;124199;147753;144214;161247
Crépy - Couvron;296152;2870;4207;3363;2223;2684;1993;1738;3029;4094
Créteil Pompadour;608802;94600;6412258;6072149;1904409;7763379;7588995;7375710;7064928;6748141
Croix L'Allumette;281055;59170;1635;848;731;1029;1269;1669;1245;1465
Culoz;741074;1350;260917;196035;151638;260868;205156;230147;221698;222735
Dettwiller;212183;67490;135299;116580;102216;135859;136948;141697;134122;130471
Dingé;478040;35440;12371;9842;7880;11488;9997;9641;11056;11021
Dissay;575191;86130;31250;24292;23302;25212;25892;26942;26808;27494
Dommartin - Lissieu;721738;69380;10570;12679;13235;12140;9959;9114;8849;10901
Dompierre Sept Fons;696427;3290;19909;13852;9188;14413;15074;17524;16866;17781
Donjeux;142273;52300;5355;3560;3815;3588;4064;6276;5965;5536
