nom_gare;code_uic;code_postal;total_voyageurs_2022;total_voyageurs_2021;total_voyageurs_2020;total_voyageurs_2019;total_voyageurs_2018;totalvoyageurs2017;total_voyageurs_2016;total_voyageurs_2015
Avignon Centre;765008;84000;2775924;2067055;1279138;2301960;2158528;2575499;2341921;2309025
Ax-les-Thermes;611533;9110;87663;48402;35495;66861;68712;84104;76609;87362
Bagnac-sur-Célé;613604;46270;2867;1924;920;1569;3358;4727;4038;4367
Bailleul;286179;59270;1050990;855738;764001;1021600;944255;998316;955858;955623
Bailleul-Sir-Berthoult;342592;62580;647;540;640;852;687;951;1628;1035
Bains-les-Bains;144147;88240;3181;1788;1965;2801;2384;3047;3918;4001
Ballancourt-sur-Essonne;681437;91610;400923;437411;261589;485406;498440;515230;521401;525543
Ballersdorf;181073;68210;0;0;0;0;0;0;0;0
Baraqueville Carcenac Peyralès;615757;12160;13212;10006;7645;9837;6223;6141;6053;5699
Baroncourt;192658;55240;20257;8374;5756;9000;7517;9225;8703;12179
Base Aérienne;699223;41200;2079;659;95;0;0;0;0;0
Batz-sur-Mer;481770;44740;26382;18989;11761;15922;12216;11675;9851;8915
Baule;574152;45130;23367;11469;8932;16635;14919;12138;11273;11778
Béard;696468;58160;1688;460;295;334;580;609;1304;2292
Beaucaire;775023;30300;47307;34642;17161;6521;7446;9383;8729;9525
Beaumont-le-Roger;387183;27170;12724;7841;6269;12520;13543;14013;12102;12389
Beaune;713545;21200;1034289;734727;656096;902907;843437;945053;872976;940402
Beaurainville;317198;62990;22374;13682;1744;2379;2962;13336;23410;26699
Beauvoisin;775809;30640;15736;12738;4826;916;299;585;800;552
Bédarrides;765198;84370;17713;13476;9782;20446;20795;26959;20850;22469
Bellac;592485;87300;33299;24849;16307;26216;23075;34347;36090;32527
Belle-Isle - Bégard;473165;22810;2405;2760;2286;1711;1700;2129;2125;3489
Belleville;141804;54940;26977;20628;17494;25006;23040;28306;28504;28800
Bellevue;393116;92360;1094825;963958;561566;1326402;1346821;1370573;1369605;1360814
Belvezet;783670;48170;535;253;311;264;290;609;549;201
