code_insee,Annee,Nombre_de_Maisons_en_vente,Nombre_Apparts_en_vente,Prix_Moyen,Prix_au_m2_Moyen,Surface_Moyenne
14403,2021,14,0,208931.071428571,1815.64285714286,119
14404,2021,3,0,185844.333333333,1544.66666666667,113.333333333333
14405,2021,3,0,251333.333333333,1709.33333333333,129.666666666667
14406,2021,13,0,273912.461538462,2138.76923076923,131.615384615385
14407,2021,23,1,444318.833333333,2954.04166666667,155.291666666667
14408,2021,28,5,173493.03030303,2231.45454545455,84.969696969697
14409,2021,45,47,222532.913043478,3767.33695652174,60.9239130434783
14410,2021,17,0,189213.529411765,2003.29411764706,92.6470588235294
14411,2021,6,0,98333.3333333333,1525.16666666667,72.5
14419,2021,6,0,330833.333333333,2615.66666666667,130.333333333333
14421,2021,8,0,147880.75,1512.75,96.625
14424,2021,3,0,165783.333333333,1366,120.666666666667
14425,2021,3,0,499516.666666667,4349.33333333333,108
14426,2021,6,0,372220.333333333,2983.83333333333,123
14427,2021,5,0,101360,1364.4,80.2
14430,2021,2,0,597820,5603,98.5
14431,2021,130,1,142864,1686.41221374046,87.4274809160305
14435,2021,3,0,197476.666666667,1755.66666666667,111.666666666667
14436,2021,5,0,194760,2109.4,90.8
14437,2021,70,67,171955.299270073,2488.63503649635,70.2773722627737
14438,2021,8,0,221231.125,2165.25,103.25
14439,2021,1,0,64000,533,120
14445,2021,2,0,235000,2170,115
14446,2021,2,0,291250,2444.5,127.5
14449,2021,3,0,300333.333333333,2615.33333333333,124
14452,2021,11,0,174390.909090909,1545.81818181818,107.090909090909
14453,2021,5,0,157973,1335.6,115.8
14454,2021,22,2,242230.625,2371.75,104.75
14455,2021,5,0,159500.8,1387,120.4
14456,2021,38,0,235637.894736842,2217.15789473684,106.710526315789
14457,2021,3,0,65000,1224,75.6666666666667
14458,2021,5,0,155865.4,1812,76.8
14460,2021,30,1,200844.838709677,2123.12903225806,95.9354838709677
14461,2021,5,0,231380,1956.2,114.8
14465,2021,7,0,240842.857142857,1698.14285714286,141.857142857143
14466,2021,1,0,294900,2979,99
14467,2021,1,0,176000,1615,109
14468,2021,9,0,150116.666666667,1475.66666666667,98
14469,2021,2,0,97500,1884,59
14473,2021,2,0,189000,2011,104
14474,2021,5,0,227030,2425.4,98.6
14475,2021,26,0,227940.423076923,2251.5,107.115384615385
14476,2021,2,0,140000,1345.5,112
14478,2021,38,2,112962.5,1219.75,92.8
14480,2021,5,0,167600,1489.6,114
14482,2021,4,0,289750,2019.25,139.5
14483,2021,4,0,153512.5,1810,87.75
14484,2021,3,0,210666.666666667,2024.33333333333,105.333333333333
14486,2021,4,0,120761,1514.25,88.25
14487,2021,12,0,233183.333333333,1843.08333333333,123
14488,2021,124,106,211598.17826087,3133.00869565217,70.4304347826087
14491,2021,4,0,290375,2053,143
14492,2021,2,0,558835,3079,184
14494,2021,5,0,414914,3001.8,156.2
14495,2021,6,0,362584.333333333,2869.16666666667,130.833333333333
14496,2021,2,0,87200,1047.5,88
14497,2021,4,0,168000,1911,91
14498,2021,7,0,121571.428571429,1316.85714285714,89.2857142857143
14499,2021,6,0,359002.833333333,2685.5,133.666666666667
14500,2021,3,0,742256.666666667,5003,139.333333333333
14501,2021,4,0,108000,1325.75,97.75
14502,2021,5,0,135200,1295,114.4
14504,2021,9,0,239332.888888889,1875.55555555556,130.222222222222
14506,2021,7,0,201021.428571429,1397,155.142857142857
14509,2021,4,0,444100,2679,173.25
14510,2021,2,0,109000,1393.5,88.5
14511,2021,4,0,168250,1543.25,107.75
14514,2021,39,18,214088.684210526,2572.91228070175,85.6140350877193
14515,2021,25,20,149181.422222222,2244.08888888889,70.0888888888889
14516,2021,32,0,136591.84375,1978.15625,74.28125
14519,2021,3,0,218916.666666667,1262.33333333333,170.666666666667
14520,2021,9,0,217766.666666667,2205.22222222222,101
14522,2021,6,0,270000,1914.33333333333,124.833333333333
14524,2021,5,0,259926.6,2045.8,145.6
14527,2021,11,0,290824.181818182,2460.36363636364,125.545454545455
14528,2021,5,0,177490,2524.4,76.2
14529,2021,3,0,160000,1640.33333333333,103
14530,2021,19,0,262481.421052632,2753.57894736842,97.3157894736842
14531,2021,2,0,52500,643,82.5
14533,2021,1,0,237500,2199,108
14534,2021,3,0,380333.333333333,2588.33333333333,146.666666666667
14535,2021,12,1,257254.615384615,2812.15384615385,90.7692307692308
14536,2021,33,12,203672.511111111,2320.2,86.3333333333333
14538,2021,27,2,238027.965517241,2300.06896551724,104.310344827586
14540,2021,4,0,398250,2885,132.75
14541,2021,4,0,184750,2038.5,90.25
14542,2021,8,0,341833.75,2504.75,138.875
14543,2021,34,0,321574.764705882,2444.20588235294,137.882352941176
14546,2021,3,0,110933.333333333,1198,87.3333333333333
14550,2021,2,0,290000,2648,112.5
14552,2021,8,0,229257.5,2065.75,114.375
14554,2021,19,0,221611.578947368,2432.63157894737,95
14555,2021,10,0,293856.8,2338,125.8
14556,2021,15,0,223154,2402.8,92.8666666666667
14557,2021,23,28,333507.098039216,3798.07843137255,82.7843137254902
14558,2021,14,1,286006,3097.6,100.066666666667
14559,2021,8,0,91687.5,971,94
14562,2021,47,23,255139.057142857,3239.15714285714,79.7142857142857
14563,2021,7,0,581575.285714286,2846,180.857142857143
14565,2021,10,0,198150,2868,81.9
14566,2021,18,0,307727.055555556,2509.55555555556,121.777777777778
14569,2021,1,0,175000,1577,111
14570,2021,34,0,162983.823529412,1446.52941176471,113.735294117647
14571,2021,8,0,166685.375,1854.625,97.25
14572,2021,15,0,102183.666666667,1339.06666666667,76.6
14574,2021,19,0,248492.105263158,2078,126.842105263158
14575,2021,10,0,504338.5,3485.3,131.7
14576,2021,8,0,190603.5,1361.875,155.375
14578,2021,27,0,378307.777777778,3087.2962962963,117.037037037037
14579,2021,11,0,172290.909090909,1738.72727272727,110.363636363636
14582,2021,9,0,142177.777777778,1678.88888888889,85.1111111111111
14586,2021,2,0,158350,1237.5,118
14587,2021,15,2,240354.705882353,2462.29411764706,99.4705882352941
14588,2021,5,0,173020,1689,108.6
14589,2021,17,0,176440.588235294,1765,100.941176470588
14590,2021,2,0,87500,767,115
14591,2021,8,0,194180.625,1626.875,124
14592,2021,16,0,269345,2378,120.125
14593,2021,16,0,378092.5,3127.8125,121.0625
14595,2021,4,0,175000,1795,103
14598,2021,2,0,293575,3262.5,86.5
14601,2021,2,0,215000,2082,104
14602,2021,5,0,134198,1764.6,87.6
14603,2021,4,0,209200,1742.25,124.75
14605,2021,10,0,322942,3121,110.8
14606,2021,7,0,271958.571428571,3369,85.1428571428571
14607,2021,3,0,206666.666666667,1684.33333333333,123.333333333333
14609,2021,3,0,257900,2292.66666666667,111
14610,2021,28,5,262038,2388.63636363636,114.545454545455
14613,2021,2,0,183025,1334,131.5
14614,2021,12,1,224679.230769231,1551,118.769230769231
14619,2021,3,0,89333.3333333333,1353,80
14620,2021,6,0,257005.833333333,1971.83333333333,141.833333333333
14621,2021,15,0,122851.333333333,1226.6,101.4
14622,2021,1,0,106000,646,164
14623,2021,33,2,209752.8,2331.91428571429,91.6285714285714
14625,2021,4,0,168500,1874.75,88.5
14626,2021,12,0,172979.166666667,1903.58333333333,89.5833333333333
14627,2021,3,0,196843.333333333,1828.66666666667,108
14630,2021,4,0,275272.5,2488.5,121.25
14635,2021,1,0,375030,2451,153
14637,2021,5,0,160600,1947.8,78.2
14639,2021,4,0,189850,1568.75,122.75
14640,2021,4,0,300850,2161.25,141.25
14643,2021,15,0,207000.866666667,1892.26666666667,111.066666666667
14644,2021,17,0,214900.294117647,1922.29411764706,115.647058823529
14645,2021,10,0,385259,3529,113.4
14646,2021,1,0,268000,1595,168
14648,2021,4,0,220612.5,2211.75,105.25
14649,2021,4,0,168700,1679.75,104.75
14650,2021,3,0,183623.333333333,1634,112
